team,elo,matches
Spain,2217.5,783
Argentina,2187.6,1068
France,2123.6,935
England,2084.7,1089
Brazil,2067.9,1059
Colombia,2062.9,638
Portugal,2041.2,694
Ecuador,2026.7,591
Netherlands,2009.3,879
Germany,2003.2,1031
Japan,1992.4,790
Morocco,1983.8,617
Mexico,1979.1,1003
Uruguay,1974.5,970
Norway,1969.9,872
Croatia,1968.0,396
Turkey,1968.0,642
Belgium,1955.4,853
Switzerland,1954.6,884
Italy,1927.2,893
Denmark,1927.1,874
Senegal,1918.4,637
Paraguay,1917.6,783
Australia,1899.6,581
Canada,1898.1,469
Iran,1895.9,612
Austria,1888.6,860
Nigeria,1885.0,660
South Korea,1880.0,1007
Algeria,1871.9,616
Panama,1853.9,539
Scotland,1842.8,851
Ukraine,1839.8,338
Russia,1835.9,748
United States,1826.0,790
Uzbekistan,1819.4,354
Ivory Coast,1813.5,636
Venezuela,1810.5,459
Egypt,1809.2,756
Jersey,1805.3,235
Greece,1801.6,633
Czech Republic,1800.6,360
Serbia,1800.3,348
Basque Country,1798.5,64
Chile,1792.9,834
Jordan,1774.4,485
DR Congo,1771.8,523
Peru,1771.1,714
Kosovo,1770.2,104
Poland,1769.4,892
Sweden,1769.1,1101
Hungary,1762.7,1005
Republic of Ireland,1759.4,633
Iraq,1749.4,654
Costa Rica,1749.3,723
Guernsey,1745.6,240
Wales,1741.6,726
Tunisia,1737.0,678
Slovenia,1736.8,317
Bolivia,1727.7,533
Slovakia,1723.4,367
Cameroon,1723.1,616
New Zealand,1718.7,416
Honduras,1710.9,620
Isle of Man,1709.1,58
Georgia,1709.1,307
Mali,1707.1,569
Haiti,1706.8,510
Israel,1699.3,498
Romania,1699.1,766
Saudi Arabia,1686.2,740
Albania,1672.1,398
United Arab Emirates,1664.2,612
South Africa,1662.1,480
Northern Ireland,1660.9,707
Isle of Wight,1660.3,48
Jamaica,1658.5,663
Cape Verde,1652.5,235
Bosnia and Herzegovina,1650.2,283
Burkina Faso,1649.6,463
North Macedonia,1647.9,306
Guatemala,1647.3,554
Ynys Môn,1639.7,67
Iceland,1629.3,521
Ghana,1624.4,671
Curaçao,1606.1,385
New Caledonia,1599.3,265
Finland,1597.7,818
Syria,1597.7,484
Suriname,1590.9,399
Palestine,1588.1,248
Belarus,1584.3,314
Réunion,1582.4,124
Angola,1579.7,414
Guinea,1577.1,539
Oman,1572.8,543
Qatar,1565.1,635
Benin,1555.8,324
China,1555.2,701
Zambia,1549.1,793
Trinidad and Tobago,1540.3,752
Bahrain,1540.0,584
Gambia,1537.9,266
Bulgaria,1536.3,736
Zanzibar,1533.4,209
Thailand,1529.7,864
Libya,1529.3,384
Gabon,1520.6,405
Guadeloupe,1518.6,271
Montenegro,1516.3,170
Uganda,1511.8,685
Tahiti,1509.1,242
Madagascar,1509.1,320
Kazakhstan,1508.9,268
Nicaragua,1503.9,222
Shetland,1503.2,58
Mozambique,1500.6,374
Niger,1497.4,260
Indonesia,1495.6,727
El Salvador,1493.9,614
North Korea,1492.1,390
Guyana,1490.9,313
Sierra Leone,1482.8,300
Malaysia,1480.8,835
Martinique,1478.5,331
Togo,1477.6,446
Comoros,1475.7,150
Dominican Republic,1475.1,159
Zimbabwe,1474.4,496
Sudan,1474.1,469
Kuwait,1473.8,684
Åland Islands,1473.4,51
Kenya,1470.2,706
Vietnam,1467.6,297
Greenland,1465.2,77
Luxembourg,1458.1,467
Mayotte,1454.6,38
